from,to,relationship,time,end,,
domale,Rgasthofalex,3,2021,x,,domale Rgasthofalex 3
Rvictorsfinedinigbychristianbau,domale,4,2015,2017,,Rvictorsfinedinigbychristianbau domale 4
chrbau,domale,1,2015,2017,,chrbau domale 1
Rlecerf,domale,4,2018,2020,,Rlecerf domale 4
nikber,Rbonvivant,3,2021,x,,nikber Rbonvivant 3
andsch,Rlabecasse,3,NA,x,,andsch Rlabecasse 3
maxkre,Rsanktbenedikt,3,2011,x,,maxkre Rsanktbenedikt 3
Rimschiffchen,maxkre,4,NA,x,,Rimschiffchen maxkre 4
jeabou,maxkre,1,NA,x,,jeabou maxkre 1
Rvictorsfinedinigbychristianbau,maxkre,4,NA,x,,Rvictorsfinedinigbychristianbau maxkre 4
chrbau,maxkre,1,NA,x,,chrbau maxkre 1
chrmar,Rschattbuch,3,NA,x,,chrmar Rschattbuch 3
maxspe,Rschwabenstube,3,2017,x,,maxspe Rschwabenstube 3
Rsoulfood,miclau,3,2012,x,,Rsoulfood miclau 3
Rsoulfood,chrheß,3,2012,x,,Rsoulfood chrheß 3
benmit,Ralteliebe,3,2019,x,,benmit Ralteliebe 3
simlan,Rsartory,3,2016,x,,simlan Rsartory 3
Rbodendorfs,simlan,6,2004,2004,,Rbodendorfs simlan 6
holbod,simlan,2,2004,2004,,holbod simlan 2
steber,Rlejardindefrance,3,1998,x,,steber Rlejardindefrance 3
malkuh,Rmalteshiddenkitchen,3,2018,x,,malkuh Rmalteshiddenkitchen 3
stedis,Rgasthauszumraben,5,2005,x,,stedis Rgasthauszumraben 5
stedis,Rgasthauszumraben,3,2005,x,,stedis Rgasthauszumraben 3
Rgasthauszumraben,malkuh,6,NA,NA,,Rgasthauszumraben malkuh 6
Rlepavillon,malkuh,4,2011,2013,,Rlepavillon malkuh 4
marher,malkuh,1,2011,2013,,marher malkuh 1
Rrestaurantüberfahrtchristianjürgens,malkuh,6,NA,NA,,Rrestaurantüberfahrtchristianjürgens malkuh 6
flosto,Rschwarzwaldstube,6,2006,2008,,flosto Rschwarzwaldstube 6
flosto,R1789,3,2020,x,,flosto R1789 3
Rschwarzwaldstube,jörsac,4,1977,1982,,Rschwarzwaldstube jörsac 4
harwoh,jörsac,1,1977,1982,,harwoh jörsac 1
jörsac,Raubergine,6,1986,1988,,jörsac Raubergine 6
jörsac,Rschlossberg,3,1993,x,,jörsac Rschlossberg 3
harwoh,nicsac,1,NA,NA,,
Rschwarzwaldstube,nicsac,4,NA,NA,,
nicsac,Rlandhausfeckl,6,NA,NA,,
nicsac,Rschlossberg,3,NA,NA,,nicsac Rschlossberg 3
frafec,nicsac,2,NA,NA,,frafec nicsac 2
Rvendome,nicsac,6,NA,NA,,Rvendome nicsac 6
joawis,nicsac,2,NA,NA,,joawis nicsac 2
ulrhei,Rpur,3,2020,NA,,ulrhei Rpur 3
andsau,Rbandolsurmer,3,2018,NA,,andsau Rbandolsurmer 3
Rrutz,andsau,6,2004,2010,,Rrutz andsau 6
marcmue,andsau,2,2004,2010,,marcmue andsau 2
stepgar,Rbieberbau,5,NA,NA,,stepgar Rbieberbau 5
jeamat,Rbieberbau,3,NA,NA,,jeamat Rbieberbau 3
stezei,Rbricole,3,NA,NA,,stezei Rbricole 3
nichah,Rcookiescream,3,2023,x ,,nichah Rcookiescream 3
yansto,Rcordo,3,2018,x ,,yansto Rcordo 3
Rhaerlin,yansto,6,NA,NA,,Rhaerlin yansto 6
chrrüf,yansto,2,NA,NA,,chrrüf yansto 2
Raqua,yansto,6,NA,NA,,Raqua yansto 6
sveelv,yansto,2,NA,NA,,sveelv yansto 2
dylwat,Rernst,3,NA,NA,,dylwat Rernst 3
bjosaw,Rfaelt,3,2020,x ,,bjosaw Rfaelt 3
Rrutz,bjosaw,6,NA,NA,,Rrutz bjosaw 6
marcmue,bjosaw,2,NA,NA,,marcmue bjosaw 2
Rfacil,bjosaw,6,NA,NA,,Rfacil bjosaw 6
mickem,bjosaw,2,NA,NA,,mickem bjosaw 2
joager,bjosaw,2,NA,NA,,joager bjosaw 2
Rgutshausstolpe,bjosaw,6,NA,NA,,Rgutshausstolpe bjosaw 6
chrsom,bjosaw,2,NA,NA,,chrsom bjosaw 2
Rgolvet,bjosaw,6,NA,NA,,Rgolvet bjosaw 6
jonzoe,bjosaw,2,NA,NA,,jonzoe bjosaw 2
janrze,Rfaelt,3,2023,x ,,janrze Rfaelt 3
Rcookiescream,janrze,6,2019,NA,,Rcookiescream janrze 6
nichah,janrze,2,2019,NA,,nichah janrze 2
jonzoe,Rgolvet,3,2018,x ,,jonzoe Rgolvet 3
Rfacil,jonzoe,4,2013,2015,,Rfacil jonzoe 4
mickem,jonzoe,1,2013,2015,,mickem jonzoe 1
ebelan,Rhugos,3,2015,x,,ebelan Rhugos 3
Rlorenzadlonesszimmer,ebelan,4,NA,NA,,Rlorenzadlonesszimmer ebelan 4
Rirmaladouce,fracon,3,NA,NA,,Rirmaladouce fracon 3
micschä,Rnobelhartundschmutzig,3,NA,NA,,micschä Rnobelhartundschmutzig 3
micschä,Rrestaurantvillamerton,6,NA,NA,,micschä Rrestaurantvillamerton 6
micschä,phigia,3,NA,NA,,micschä phigia 3
galmos,Rprism,3,NA,NA,,galmos Rprism 3
fracon,Rrichard,3,NA,NA,,fracon Rrichard 3
saskur,Rskykitchen,3,NA,NA,,saskur Rskykitchen 3
