from,to,relationship,time,end
frafec,Rtantris,6,1978,1979
benchm,frafec,2,1978,1979
johfra,Rjean,3,NA,NA
thomer,Rmerklesrestaurant,3,NA,NA
alewul,Rvendome,6,NA,NA
alewul,Rtroyka,3,2020,x
markok,Rtroyka,3,2020,x
tobwey,Rhannappel,3,NA,NA
nelmue,Rschote,5,2009,x
nelmue,Rorangerie,6,NA,NA
lutnie,nelmue,2,NA,NA
ralkne,Rerbprinz,3,NA,NA
filczm,Rbembergshäuschen,3,2018,x
filczm,Rvendome,6,NA,NA
joawis,filczm,2,NA,NA
filczm,Roxklee,6,NA,NA
dangot,filczm,2,NA,NA
dansch,Ralteschuleklassenzimmer,5,NA,NA
kaylur,Rgourmetrestaurantnicoburkhardt,6,2019,2020
nicbur,kaylur,2,2019,2020
kaylur,Roettingersrestaurant,3,2023,x
quibru,Rdasgrace,3,2020,x
quibru,Rkai3,6,NA,NA
felgab,quibru,2,NA,NA
rendit,Raltwyk,3,NA,NA
eriarn,Rphilippsoldan,3,2015,x
benrus,Rcarmelogreco,5,2010,x
cargre,Rcarmelogreco,3,2017,x
valmat,Rernosbistro,3,NA,NA
marweg,Rmaintowerrestaurantundlounge,3,NA,NA
masoae,Rmasajapanesecuisine,3,NA,NA
phigia,Rrestaurantvillamerton,3,NA,NA
ricsaw,Rsevenswans,3,2018,x
ricsaw,Rrestaurantvillamerton,6,NA,NA
phigia,ricsaw,2,NA,NA
danple,Rweinsinn,3,NA,NA
micschl,Rmichaelsleitenberg,3,NA,NA
danrau,Rgenießerstube,3,2007,x
chrste,Rchristianandfriendstastekitchen,3,NA,NA
edmsch,Rwernersrestaurant,3,NA,NA
nicwied,Reckert,3,2014,x
micque,Rmühlenhelle,3,2007,x
chrbau,Rspeiseberg,3,2024,x
dangeo,Rratsstuben,3,NA,NA
stefät,Rjellyfish,5,2019,x
stefät,Rfavoriterestaurant,6,NA,NA
tobsch,stefät,2,NA,NA
heiweh,Rlandhausscherrer,3,1981,x
heiweh,Rlandhausscherrer,5,1981,x
wahnou,Rpiment,3,2000,x
wahnou,Rpiment,5,2000,x
wahnou,Rschwarzwaldstube,6,1991,1992
mauost,Rzeik,3,2018,x
mauost,Rzeik,5,2018,x
thowoh,Rhandwerk,3,2016,x
thowoh,Rhandwerk,5,2016,x
robräd,Roben,3,2017,x
robräd,Roben,5,2017,x
petnie,Rlavalleeverte,3,2018,x
petnie,Rhirschen,6,NA,NA
conkai,Rletable,3,2020,x
flovog,Rcamersschlossrestaurant,3,2015,x
flovog,Rvictorsfinediningbychristianbau,6,2009,2010
flovog,Raloisdallmayrfinedining,6,2010,2011
chrfle,Rchevalblanc,3,2018,x
Igoyak,Rtawayamafine,3,2022,x
Rpavoimburghotelfalkenstein,Igoyak,4,NA,NA
Igoyak,Rsilberdistel,6,NA,NA
joamal,Rmalathounis,3,1993,x
joamal,Rmalathounis,5,1993,x
thobell,Rschlossloersfeld,3,1992,x
thobell,Rschlossloersfeld,5,1992,x
dirsch,Rweinschänkeschlossgroenesteyn,3,2018,x
dirsch,Rweinschänkeschlossgroenesteyn,5,2018,x
dirsch,Rtantris,6,2000,2004
dirsch,Rvendome,6,2005,2006
joawis,dirsch,2,2005,2006
chrgra,Rchristiansrestaurantgasthofgrainer,3,1990,x
chrgra,Rchristiansrestaurantgasthofgrainer,5,1990,x
Rchristiansrestaurantgasthofgrainer,chrgra,4,NA,1982
chrgra,Rrestaurantbareiss,6,1985,1988
mansch,Rschwarzgourmet,3,2017,x
mansch,Rschwarzgourmet,5,2017,x
mansch,Rtantris,6,1980,1981
mansch,Rrestaurantbareiss,3,1982,1989
fredes,Rlaudensacksgourmetrestaurant,3,2009,x
fredes,Rcolombirestaurant,6,NA,NA
frasey,Rgotthardts,3,NA,x
miksch,Rschillersmanufaktur,3,2004,x
miksch,Rschillersmanufaktur,5,2004,x
robcar,Ralfredo,3,1973,x
